tweet,date,comments,shares,likes,views,language
"Agree -  what a racket!  If you wanna make big bucks, get into the climate racket !",2024-05-23T11:50:53.000Z,,,,6.0,en
,2024-05-22T09:25:47.000Z,,,1.0,217.0,en
FX Furu’s if you need any advice holla this man,2024-05-22T23:45:39.000Z,,,,24.0,en
Its an international money grab.,2024-05-22T11:59:07.000Z,,,3.0,135.0,en
Greenpeace founder was the one who started it but now he cannot control it,2024-05-24T05:45:15.000Z,,,,1.0,en
Follow the money from the beginning. This isn't hard.,2024-05-23T03:56:11.000Z,,,,16.0,en
The worldwide money grab.,2024-05-22T14:47:39.000Z,,,,56.0,en
Why do we not hear this spoken more regularly?,2024-05-22T14:15:51.000Z,,,,27.0,en
True but he’s never been a great source.,2024-05-22T22:10:23.000Z,,,1.0,26.0,en
What is climate? A collection of expectations / Leonard A. Smith,2024-05-22T19:37:57.000Z,,,,30.0,en
Surprising..,2024-05-22T20:18:23.000Z,,,,48.0,en
...deliberate fabrication with an agenda...,2024-05-22T13:52:28.000Z,,,1.0,49.0,en
Of course,2024-05-24T03:38:48.000Z,,,,10.0,en
Agreed,2024-05-22T13:31:25.000Z,,,,61.0,en
Yup,2024-05-23T00:33:42.000Z,,,,23.0,en
Wow,2024-05-22T22:13:52.000Z,,,,21.0,en
One big money laundering operation.,2024-05-24T02:53:53.000Z,,,,4.0,en
what is that building behind him?,2024-05-23T12:33:07.000Z,,,,6.0,en
We know,2024-05-22T23:54:51.000Z,,,,15.0,en
Like the holes in the ozone scare?,2024-05-22T13:21:56.000Z,,,,30.0,en
Just like CovidGone,2024-05-22T09:40:27.000Z,,,1.0,136.0,en
Omg I’ve been in cities where the air is so bad it kills people and people with asthma go to the ER!,2024-05-23T02:34:42.000Z,,,1.0,17.0,en
,2024-05-22T09:25:47.000Z,,1.0,217.0,,en
FX Furu’s if you need any advice holla this man,2024-05-22T23:45:39.000Z,,,,24.0,en
Its an international money grab.,2024-05-22T11:59:07.000Z,,,3.0,135.0,en
Greenpeace founder was the one who started it but now he cannot control it,2024-05-24T05:45:15.000Z,,,,1.0,en
Follow the money from the beginning. This isn't hard.,2024-05-23T03:56:11.000Z,,,,16.0,en
The worldwide money grab.,2024-05-22T14:47:39.000Z,,,,56.0,en
Why do we not hear this spoken more regularly?,2024-05-22T14:15:51.000Z,,,,27.0,en
True but he’s never been a great source.,2024-05-22T22:10:23.000Z,,,1.0,26.0,en
What is climate? A collection of expectations / Leonard A. Smith,2024-05-22T19:37:57.000Z,,,,30.0,en
Surprising..,2024-05-22T20:18:23.000Z,,,,48.0,en
...deliberate fabrication with an agenda...,2024-05-22T13:52:28.000Z,,,1.0,49.0,en
Of course,2024-05-24T03:38:48.000Z,,,,10.0,en
Agreed,2024-05-22T13:31:25.000Z,,,,61.0,en
Yup,2024-05-23T00:33:42.000Z,,,,23.0,en
Wow,2024-05-22T22:13:52.000Z,,,,21.0,en
One big money laundering operation.,2024-05-24T02:53:53.000Z,,,,4.0,en
what is that building behind him?,2024-05-23T12:33:07.000Z,,,,6.0,en
We know,2024-05-22T23:54:51.000Z,,,,15.0,en
Like the holes in the ozone scare?,2024-05-22T13:21:56.000Z,,,,30.0,en
Just like CovidGone,2024-05-22T09:40:27.000Z,,,1.0,136.0,en
Omg I’ve been in cities where the air is so bad it kills people and people with asthma go to the ER!,2024-05-23T02:34:42.000Z,,,1.0,17.0,en
He's right.,2024-05-22T08:54:34.000Z,,,3.0,255.0,en
My man!,2024-05-22T10:36:04.000Z,,,1.0,173.0,en
Yes it was for purpose of controlling energy sector. Who controls energy controls the world.,2024-05-22T11:40:51.000Z,,,2.0,117.0,en
"Liar for sale to the highest bidder, Patrick Moore.",2024-05-22T08:49:23.000Z,,,3.0,249.0,en
@MonaKeijzer  @VVD  @PieterOmtzigt  @leondejong  @2eKamertweets,2024-05-22T10:38:52.000Z,,,1.0,109.0,en
@dferris1961,2024-05-22T12:01:00.000Z,,,1.0,86.0,en
Their plan is to ‘make it so’ with: cloud seeding; HAARP; the deliberate degradation of soil; (partially) blocking out the sun; etc.. The AGW/ carbon propaganda is about pre-programming the acceptance of the response (global fascism) to the upcoming manufactured crises.,2024-05-22T08:32:52.000Z,,2.0,1.0,205.0,en
"Exactly, it’s about money. They don’t seem to take enough money from us. They always look for more ways to make us pay for everything they own.",2024-05-22T15:54:22.000Z,,,2.0,35.0,en
"I was wondering where Green Peace was?  Fully agree, stealing of Trillions for nonsense.  We have wasted 20 years on this.",2024-05-22T13:18:26.000Z,,,1.0,44.0,en
"That's exactly why they predicted that, with incr. CO2 the earth would either heat up or the Gulf Stream would come to a standstill and it would become bitterly cold. They are always right with this ""prediction"" Why doesn't anyone realize that such ""modeling"" has no value at all?",2024-05-22T17:46:33.000Z,,2.0,2.0,96.0,en
I am with you on this 100%.,2024-05-24T03:43:28.000Z,,,,6.0,en
